"SPCD","COMMON_NAME","GENUS","SPECIES","VARIETY","SUBSPECIES","SPECIES_SYMBOL","E_SPGRPCD","W_SPGRPCD","C_SPGRPCD","P_SPGRPCD","MAJOR_SPGRPCD","STOCKING_SPGRPCD","FOREST_TYPE_SPGRPCD","EXISTS_IN_NCRS","EXISTS_IN_NERS","EXISTS_IN_PNWRS","EXISTS_IN_RMRS","EXISTS_IN_SRS","SITETREE","SFTWD_HRDWD","ST_EXISTS_IN_NCRS","ST_EXISTS_IN_NERS","ST_EXISTS_IN_PNWRS","ST_EXISTS_IN_RMRS","ST_EXISTS_IN_SRS","CORE","EAST","WEST","CARIBBEAN","PACIFIC","WOODLAND","MANUAL_START","MANUAL_END","JENKINS_SPGRPCD","JENKINS_TOTAL_B1","JENKINS_TOTAL_B2","JENKINS_STEM_WOOD_RATIO_B1","JENKINS_STEM_WOOD_RATIO_B2","JENKINS_STEM_BARK_RATIO_B1","JENKINS_STEM_BARK_RATIO_B2","JENKINS_FOLIAGE_RATIO_B1","JENKINS_FOLIAGE_RATIO_B2","JENKINS_ROOT_RATIO_B1","JENKINS_ROOT_RATIO_B2","JENKINS_SAPLING_ADJUSTMENT","WOOD_SPGR_GREENVOL_DRYWT","WOOD_SPGR_GREENVOL_DRYWT_CIT","BARK_SPGR_GREENVOL_DRYWT","BARK_SPGR_GREENVOL_DRYWT_CIT","MC_PCT_GREEN_BARK","MC_PCT_GREEN_BARK_CIT","MC_PCT_GREEN_WOOD","MC_PCT_GREEN_WOOD_CIT","WOOD_SPGR_MC12VOL_DRYWT","WOOD_SPGR_MC12VOL_DRYWT_CIT","BARK_VOL_PCT","BARK_VOL_PCT_CIT","RAILE_STUMP_DOB_B1","RAILE_STUMP_DIB_B1","RAILE_STUMP_DIB_B2","CWD_DECAY_RATIO1","CWD_DECAY_RATIO2","CWD_DECAY_RATIO3","CWD_DECAY_RATIO4","CWD_DECAY_RATIO5","DWM_CARBON_RATIO","STANDING_DEAD_DECAY_RATIO1","STANDING_DEAD_DECAY_RATIO2","STANDING_DEAD_DECAY_RATIO3","STANDING_DEAD_DECAY_RATIO4","STANDING_DEAD_DECAY_RATIO5","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
7086,"Eugenia nitida","Eugenia","nitida","","","EUNI2",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8215,"catchbirdtree","Pisonia","spp.","","","PISON",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
129,"eastern white pine","Pinus","strobus","","","PIST",4,24,,,1,13,53,"X","X","","","X","X","S","X","X","","","X","Y","E","","","","",1.7,,4,-2.5356,2.4349,-.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,.6614,.72911,.34,1,.47,4,70.48936,22,64.97059,22,.35,1,16,35,.08091,.90698,.08469,.916,.826,.697,.421,.407,.521,.953,.95,.927,.598,.598,"",2005-02-24,"333","",2011-08-24,"10945"
114,"southwestern white pine ","Pinus","strobiformis","","","PIST3",9,24,,,1,10,22,"","","","X","X","","S","","","","X","","Y","","W","","","",1.7,,4,-2.5356,2.4349,-.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,.6614,.45789,.43,24,.4,24,68.38,24,76.13,24,.47,24,16.13,24,.08091,.90698,.08469,1,.84,.71,.45,.45,.521,.953,.95,.927,.598,.598,"",2005-02-24,"333","",2011-08-24,"10945"
8216,"water mampoo","Pisonia","subcordata","","","PISU",54,54,54,,3,37,984,"","","","","X","","H","","","","","","N","","","C","","",5,,8,-2.48,2.4835,-.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,.816,.84031,.52,26,.53,26,80.49,26,75.13,26,.58,26,15.16,26,.12766,.91979,.12152,1,.78,.45,.42,.42,.491,.987,.837,.685,.539,.539,"",2010-09-22,"10854","",2010-09-24,"10854"
8199,"spanish elder","Piper","swartzianum","","","PISW",54,54,54,,3,37,985,"","","","","X","","H","","","","","","N","","","C","","",5,,8,-2.48,2.4835,-.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,.816,.84031,.52,26,.53,26,80.49,26,75.13,26,.58,26,15.16,26,.12766,.91979,.12152,1,.78,.45,.42,.42,.491,.987,.837,.685,.539,.539,"",2010-09-22,"10854","",2010-09-24,"10854"
130,"Scotch pine","Pinus","sylvestris","","","PISY",3,24,,,1,4,71,"X","X","X","X","X","X","S","X","X","","X","","Y","E","W","","","",1.7,,4,-2.5356,2.4349,-.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,.6614,1.01056,.43,24,.4,24,68.38,24,76.13,24,.47,24,16.13,24,.08091,.90698,.08469,.916,.826,.697,.421,.407,.521,.99,.98,.83,.598,.598,"",2005-02-24,"333","",2010-08-05,"440"
131,"loblolly pine","Pinus","taeda","","","PITA",2,24,,,1,14,52,"X","X","","","X","X","S","","X","","","X","Y","E","","","","",1.7,,4,-2.5356,2.4349,-.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,.6614,.76331,.47,1,.33,4,99.12121,12,80.7234,4,.51,1,16.6,29,.08091,.90698,.08469,.829,.682,.55,.423,.421,.521,.862,.784,.732,.601,.601,"",2005-02-24,"333","",2011-08-24,"10945"
8239,"cream cheesewood","Pittosporum","terminalioides","","","PITE5",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
139,"Torrey pine","Pinus","torreyana","","","PITO",9,24,,,1,10,40,"","","X","","","","S","","","","","","Y","","W","","","",1.7,,4,-2.5356,2.4349,-.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,.6614,.45789,.43,24,.4,24,68.38,24,76.13,24,.47,24,16.13,24,.08091,.90698,.08469,1,.84,.71,.45,.45,.521,.955,.95,.934,.596,.596,"",2005-02-24,"333","",2011-08-24,"10945"
8238,"cheesewood","Pittosporum","spp.","","","PITTO",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8217,"umbrella catchbirdtree","Pisonia","umbellifera","","","PIUM2",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8223,"catclaw blackbead","Pithecellobium","unguis-cati","","","PIUN",54,54,54,,3,37,984,"","","","","X","","H","","","","","","N","","","C","","",5,,8,-2.48,2.4835,-.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,.816,.84031,.52,26,.53,26,80.49,26,75.13,26,.58,26,15.16,26,.12766,.91979,.12152,1,.78,.45,.42,.42,.491,.987,.837,.685,.539,.539,"",2010-09-22,"10854","",2010-09-24,"10854"
8240,"Australian cheesewood","Pittosporum","undulatum","","","PIUN2",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
